Barbie and Her Sisters: Puppy Rescue,Jogo em grupo,Little Orbit,Little Orbit,3 de novembro de 2015,6 de novembro de 2015,Não lançado,5 de novembro de 2015
Bass Pro Shops: The Strike,Caça/Pesca,Piranha Games,XS Games,6 de outubro de 2009,Não lançado,Não lançado,Não lançado
Bass Pro Shops: The Hunt,Caça/Pesca,Piranha Games,XS Games,2 de junho de 2010,Não lançado,Não lançado,Não lançado
Batman: Arkham Asylum,Ação & Aventura,Rocksteady Studios,Warner Bros. Interactive Entertainment,25 de agosto de 2009,28 de agosto de 2009,14 de janeiro de 2010,3 de setembro de 2009
Batman: Arkham City,Ação & Aventura,Rocksteady Studios,Warner Bros. Interactive Entertainment,18 de outubro de 2011,21 de outubro de 2011,23 de novembro de 2011,19 de outubro de 2011
Batman: Arkham Origins,Ação & Aventura,WB Games Montréal,Warner Bros. Interactive Entertainment,25 de outubro de 2013,25 de outubro de 2013,5 de dezembro de 2013,25 de outubro de 2013
Batman: The Telltale Series,Aventura gráfica,Telltale Games,Telltale Games,13 de setembro de 2016,16 de setembro de 2016,Não lançado,28 de setembro de 2016
Battle Fantasia,Luta,Arc System Works,Arc System Works,16 de setembro de 2008,6 de março de 2009,29 de maio de 2008,Não lançado
Battle vs. Chess,Jogo de tabuleiro,"TopWare Interactive, Gaijin Entertainment",SouthPeak Games,Não lançado,11 de maio de 2011,Não lançado,Não lançado
Battlefield 2: Modern Combat,Tiro em primeira pessoa,DICE,Electronic Arts,11 de abril de 2006,13 de abril de 2006,27 de abril de 2006,Não lançado
Battlefield 3,Tiro em primeira pessoa,DICE,Electronic Arts,25 de outubro de 2011,28 de outubro de 2011,2 de novembro de 2011,27 de outubro de 2011
Battlefield 4,Tiro em primeira pessoa,DICE,Electronic Arts,29 de outubro de 2013,1 de novembro de 2013,7 de novembro de 2013,31 de outubro de 2013
Battlefield Hardline,Tiro em primeira pessoa,Visceral Games,Electronic Arts,17 de março de 2015,20 de março de 2015,19 de março de 2015,19 de março de 2015
Battlefield: Bad Company,Tiro em primeira pessoa,DICE,Electronic Arts,23 de junho de 2008,27 de junho de 2008,26 de junho de 2008,26 de junho de 2008
Battlefield: Bad Company 2,Tiro em primeira pessoa,DICE,Electronic Arts,2 de março de 2010,5 de março de 2010,11 de março de 2010,4 de março de 2010
Battleship,Tiro em primeira pessoa,Double Helix Games,Activision,15 de maio de 2012,20 de abril de 2012,Não lançado,18 de abril de 2012
Battlestations: Midway,"Ação, RTT",Eidos Interactive,"Eidos Interactive, Spike JP",30 de janeiro de 2007,9 de fevereiro de 2007,7 de fevereiro de 2008,16 de fevereiro de 2007
Battlestations: Pacific,"Ação, RTT",Eidos Interactive,Eidos Interactive,12 de maio de 2009,15 de maio de 2009,21 de maio de 2009,28 de maio de 2009
Bayonetta,"Ação, Hack and slash",PlatinumGames,Sega,5 de janeiro de 2010,8 de janeiro de 2010,29 de outubro de 2009,7 de janeiro de 2010
Beautiful Katamari[nota 4],"Puzzle, Ação, Tiro em terceira pessoa",Namco Bandai Games,Namco Bandai Games,16 de outubro de 2007,29 de fevereiro de 2008,18 de outubro de 2007,7 de março de 2008
Bee Movie Game,"Ação, Aventura",Beenox,Activision,30 de outubro de 2007,16 de novembro de 2007,Não lançado,5 de dezembro de 2007
Beijing 2008,Esportes,Eurocom,Sega,8 de julho de 2008,27 de junho de 2008,31 de julho de 2008,26 de junho de 2008
Bejeweled 3,Puzzle,PopCap Games,PopCap Games,15 de novembro de 2011,27 de abril de 2012,Não lançado,Não lançado
Ben 10 Alien Force: Vilgax Attacks,Ação,Papaya Studio,D3 Publisher,27 de outubro de 2009,12 de março de 2010,Não lançado,19 de novembro de 2009
Ben 10 Ultimate Alien: Cosmic Destruction,Ação & Aventura,Papaya Studio,D3 Publisher,19 de outubro de 2010,19 de outubro de 2010,Não lançado,10 de janeiro de 2011
Ben 10: Galactic Racing,Corrida,Monkey Bar Games,D3 Publisher,18 de outubro de 2011,25 de novembro de 2011,Não lançado,24 de novembro de 2011
Ben 10: Omniverse,Ação & Beat 'em up,Vicious Cycle Software,D3 Publisher,13 de novembro de 2012,30 de novembro de 2012,Não lançado,29 de novembro de 2012
Ben 10: Omniverse 2,Ação & Beat 'em up,High Voltage Software,D3 Publisher,5 de novembro de 2013,22 de novembro de 2013,Não lançado,28 de novembro de 2013
Beowulf: The Game,Ação & Hack and slash,Ubisoft,Ubisoft,13 de novembro de 2007,16 de novembro de 2007,Não lançado,22 de novembro de 2007
Big Bumpin',Corrida & Ação,Blitz Games,King Games,19 de novembro de 2006,Não lançado,Não lançado,Não lançado
Binary Domain,Tiro em terceira pessoa,Ryū ga Gotoku Studios,Sega,28 de fevereiro de 2012,24 de fevereiro de 2012,16 de fevereiro de 2012,23 de fevereiro de 2012
Bionic Commando,"Ação & Aventura, Tiro em terceira pessoa",Grin,Capcom,19 de maio de 2009,22 de maio de 2009,25 de junho de 2009,21 de maio de 2009
Bionicle Heroes,Tiro em terceira pessoa,Traveller's Tales,Eidos Interactive,15 de novembro de 2006,24 de novembro de 2006,Não lançado,1 de dezembro de 2006
BioShock,Tiro em primeira pessoa,2K Boston/2K Australia,"2K Games, SpikeJP",21 de agosto de 2007,24 de agosto de 2007,21 de fevereiro de 2008,22 de novembro de 2013
BioShock 2,Tiro em primeira pessoa,2K Marin,2K Games,9 de fevereiro de 2010,9 de fevereiro de 2010,4 de março de 2010,9 de fevereiro de 2010
BioShock Infinite,Tiro em primeira pessoa,Irrational Games,2K Games,26 de março de 2013,26 de março de 2013,25 de abril de 2013,26 de março de 2013
Birds of Steel,Simulador de combate aéreo,Gaijin Entertainment,Konami,13 de março de 2012,16 de março de 2013,8 de março de 2012,29 de março de 2012
Black College Football: The Xperience,Esportes,Nerjyzed Entertainment,Aspyr,29 de setembro de 2009,Não lançado,Não lançado,Não lançado
BlackSite: Area 51,Tiro em primeira pessoa,Midway Games,Midway Games,12 de novembro de 2007,30 de novembro de 2007,Não lançado,29 de novembro de 2007
Blackwater,Tiro em primeira pessoa,Zombie Studios,505 Games,25 de outubro de 2011,4 de novembro de 2011,Não lançado,3 de novembro de 2011
