Black Paradox,Fantastico Studio,Digerati,03/Mai/2019
Black The Fall,Sand Sailor Studio,Sand Sailor Studio,14/Dez/2017
Blacksea Odyssey,Blacksea Odyssey,Digerati,24/Dez/2018
Blade II - The Return Of Evil,Action Square,Action Square,19/Jun/2019
Blades of Time,Gaijin Entertainment,Gaijin Entertainment,14/Mai/2019
Blade Strangers,"Studio Saizensen Co., Ltd","Nicalis, Inc.",28/Ago/2018
Blaster Master Zero,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",09/Mar/2017
Blaster Master Zero 2,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",20/Mar/2019
Blazblue Centralfiction Special Edition,"Arc System Works Co., Ltd.","Arc System Works Co., Ltd.",07/Fev/2019
Blazblue Cross Tag Battle,"Arc System Works Co., Ltd.","Arc System Works Co., Ltd.",05/Jun/2018
Blazing Beaks,Applava,QubicGames,10/Mai/2019
Blazing Chrome,JoyMasher,The Arcade Crew,11/Jul/2019
Bleed,Bootdisk Revolution,Digerati,14/Dez/2017
Bleed 2,Bootdisk Revolution,Digerati,08/Mar/2018
Bleep Bloop,Ludipe & Friends,Zerouno Games,31/Jan/2019
BlobCat,BySamb,BySamb,09/Ago/2018
Block-a-Pix Deluxe,Lightwood Games,Lightwood Games,21/Mar/2019
Blood Waves,Sometimes You,Sometimes You,15/Mar/2019
Bloodstained: Curse of the Moon,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",24/Mai/2018
Bloodstained: Ritual of the Night,ArtPlay,505 Games,25/Jun/2019
Bloody Zombies,Paw Print Games Ltd,nDreams,23/Dez/2017
Bloons TD 5,Ninja Kiwi Limited,Ninja Kiwi,13/Jun/2018
Blossom Tales: The Sleeping King,Castle Pixel,FDG Entertainment,21/Dez/2017
bloxiq,Blot Interactive,Blot Interactive,23/Ago/2018
Blue Rider,Ravegan / Ratalaika Games,eastasiasoft,13/Dez/2018
Bomb Chicken,Nitrome Ltd,Nitrome Ltd,12/Jul/2018
Bomber Crew,Runner Duck,Curve Digital,10/Jul/2018
BombFall,Tackorama Ltd,Tackorama,12/Mar/2019
Bombfest,Sudden Event Studios,Whitethorn Digital,31/Jan/2019
Bombing Busters,Sanuk Games,Sanuk Games,08/Out/2018
Bombslinger,Mode4,Plug In Digital,11/Abr/2018
Bonds of the Skies,"Hit-Point Co.,Ltd.",Kemco,14/Mar/2019
Boom Ball: Boost Edition,Virtual Air Guitar Company,VirtualAirGuitar,11/Out/2018
Boost Beast,Arzest,"Arc System Works Co., Ltd.",20/Jul/2017
Boreal Blade,Frozenbyte,Frozenbyte,28/Ago/2019
Bot Vice,DYA Games,DYA Games,11/Abr/2019
Bouncy Bob,All Those Moments,Sonka,27/Abr/2018
Bow to Blood: Last Captain Standing,Tribetoy,Tribetoy,03/Abr/2019
Box Align,QUByte Interactive,QUByte Interactive,11/Abr/2019
BoxBoy! + BoxGirl!,HAL Laboratory,Nintendo,26/Abr/2019
Boxing Champs,Raz Games,Raz Games,20/Jun/2019
BQM: BlockQuest Maker,Wonderland Kazakiri inc.,Wonderland Kazakiri,10/Jan/2019
Brave Dungeon + Dark Witch Story: Combat,Inside System,Inside System,28/Set/2017
Braveland Trilogy,Tortuga Team,Ellada Games,07/Mar/2019
Brawl,Bloober Team,QubicGames,12/Jan/2018
Brawlhalla,Blue Mammoth Games,Ubisoft,06/Nov/2018
Brawlout,Angry Mob Games,Angry Mob Games,19/Dez/2017
Brick Breaker,Sanuk Games,Bigben Interactive,03/Jan/2019
Bridge Constructor Portal,ClockStone,Headup Games,28/Fev/2018
Bring Them Home,Andrey Kharchenko,Higgs Games,20/Dez/2018
Broforce,Free Lives,Devolver Digital,06/Set/2018
Broken Age,Double Fine Productions,Double Fine Productions,13/Set/2018
Broken Sword 5 - The Serpent's Curse,Revolution Software,Revolution Software,21/Set/2018
Brothers: A Tale of Two Sons,Turn Me Up Games / Fractured Byte,505 Games,28/Mai/2019
Brunch Club,Foggy Box Games,Yogscast,29/Ago//2019
Bubble Shooter DX,EntwicklerX,EntwicklerX,10/Jan/2019
Build a Bridge!,BoomBit Games Limited,BoomBit Games,17/Jan/2019
Bulb Boy,Bulbware,Bulbware,06/Jul/2017
Burly Men at Sea,Brain & Brain / Seaven Studio,Plug In Digital,12/Abr/2018
Burnstar,Nerve Software,Gearbox Publishing,02/Jul/2018
"Bury me, my Love",Pixel Hunt,Plug In Digital,10/Jan/2019
Bus Fix 2019,Ultimate Games,Ultimate Games,03/Jul/2019
Butcher,Transhuman Design,Crunching Koalas,28/Set/2017
Cabela's: The Hunt - Championship Edition,Saber Interactive,Planet ENTMT,23/Out/2018
Cadence of Hyrule,Brace Yourself Games,Nintendo,13/Jun/2019
Cafeteria Nipponica,Kairosoft,Kairosoft,18/Abr/2019
Caged Garden Cock Robin,SEEC,SEEC,25/Jul/2019
Cake Laboratory,Square Heads Games,Grimtalin,20/Dez/2018
"Calculation Castle : Greco's Ghostly Challenge ""Addition""",media5 corporation.,media5,15/Mai/2018
"Calculation Castle : Greco's Ghostly Challenge ""Division""",media5 corporation.,media5,15/Mai/2018
"Calculation Castle : Greco's Ghostly Challenge ""Multiplication""",media5 corporation.,media5,15/Mai/2018
"Calculation Castle : Greco's Ghostly Challenge ""Subtraction""",media5 corporation.,media5,15/Mai/2018
Candle: The Power of the Flame,Teku Studios,Merge Games,26/Jul/2018
Capcom Beat 'Em Up Bundle,Capcom,Capcom,18/Set/2018
Captain StarONE,Marumittu,Flyhigh Works,07/Fev/2019
Captain Toad: Treasure Tracker,Nintendo EPD,Nintendo,13/Jul/2018
Car Mechanic Manager,InImages,Ultimate Games,07/Mai/2019
Car Mechanic Simulator,ECC Games,ECC Games,15/Fev/2019
Car Quest,Ezone PTY LTD,Ezone,25/Out/2018
Car Trader,Ultimate Games,Ultimate Games,12/Mai/2019
Carcassonne,Asmodee,Asmodee Digital,06/Dez/2018
Carnival Games,Mass Media Games,Take 2 Interactive Software,06/Nov/2018
Cars 3: Driven to Win,Avalanche Software,Warner Bros. Entertainment,13/Jun/2017
