Endless Dungeon,Roguelike,Amplitude Studios,Sega,TBA,TBA,TBA
Enlisted,Tiro na 1ª pessoa,Darkflow Software,Gaijin Entertainment,2 de março de 2021,2 de março de 2021,2 de março de 2021
Escape from Life Inc,Aventura,Sometimes You,Sometimes You,30 de março de 2021,30 de março de 2021,30 de março de 2021
Evergate,Puzzle-Plataforma,Stone Lantern Games,PQube,04 de junho de 2021,04 de junho de 2021,04 de junho de 2021
Evil Dead: The Game,Horror de sobrevivência,Boss Team Games,Saber Interactive,2021,2021,2021
Evil West,Aventura,Flying Wild Hog,Focus Home Interactive,2021,2021,2021
Exophobia,Tiro na 1ª pessoa,Zarc Attack,PM Studios,Não lançado,05 de outubro de 2021,05 de outubro de 2021
F1 2021,Corridas,Codemasters,Electronic Arts,TBA,16 de julho de 2021,16 de julho de 2021
Far Cry 6,Tiro na 1ª pessoa,Ubisoft Toronto,Ubisoft,TBA,TBA,TBA
FIFA 21,Desporto,EA Vancouver,Electronic Arts,04 de dezembro de 2021,04 de dezembro de 2021,04 de dezembro de 2021
Final Fantasy VII Remake Intergrade,Ação role-playing,Square Enix,Square Enix,10 de junho de 2021,10 de junho de 2021,10 de junho de 2021
Final Fantasy XIV,MMORPG,Square Enix,Square Enix,TBA,TBA,TBA
Final Fantasy XVI,Ação role-playing,Square Enix,Square Enix,TBA,TBA,TBA
Fire Commander,Estratégia em tempo real,Atomix WolfPixel Crow,Movie Games,TBA,TBA,TBA
F.I.S.T.: Forged in Shadow Torch,Ação,TiGAMES,Bilibili,2021 Q1/Q2,2021 Q1/Q2,2021 Q1/Q2
Five Nights at Freddy's: Security Breach,Horror de sobrevivência,Steel Wool Studios,ScottGames,2021,2021,2021
Flea Madness,Ação,Missset,Crytivo Games,2021,2021,2021
Flipper Mechanic,Simulação,SimFabric,SimFabric,TBA,TBA,TBA
Foreclosed,Aventura,Antab,Merge Games,2021,2021,2021
Forspoken,Ação role-playing,Luminous Productions,Square Enix,2022,2022,2022
Fortnite,Battle royalesandboxsurvival,Epic Games,Epic Games,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Freddy Spaghetti,Action-adventureSimulação,Playful Pasta,Ratalaika Games,Não lançado,16 de dezembro de 2021,16 de dezembro de 2021
Genshin Impact,Ação role-playing,miHoYo,miHoYo,28 de abril de 2021,28 de abril de 2021,28 de abril de 2021
Ghostrunner,Actionplatform,One More Level,All in! Games505 Games,2021 Q3/Q4,2021 Q3/Q4,2021 Q3/Q4
Ghostwire: Tokyo,Aventura,Tango Gameworks,Bethesda Softworks,2021,2021,2021
Godfall,Ação role-playing,Counterplay Games,Gearbox Publishing,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Untitled God of War sequel,Action-adventurehack and slash,Santa Monica Studio,Sony Interactive Entertainment,2021,2021,2021
Goonya Fighter: Purupuru Shokkan Edition,Fightingparty,Mutan,Mutan,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Goodbye Volcano High,Aventura,KO_OP,TBA,2021,2021,2021
Gotham Knights,Aventura,WB Games Montréal,WB Games,2022,2022,2022
Gothic Remake,Ação role-playing,THQ Nordic Barcelona,THQ Nordic,TBA,TBA,TBA
Gran Turismo 7,CorridasSimulação,Polyphony Digital,Sony Interactive Entertainment,2022,2022,2022
Granblue Fantasy: Relink,Ação role-playing,Cygames,Cygames,TBA,TBA,TBA
Grand Theft Auto V,Aventura,Rockstar North,Rockstar Games,2021 Q3/Q4,2021 Q3/Q4,2021 Q3/Q4
Grand Theft Auto Online,Aventura,Rockstar North,Rockstar Games,2021 Q3/Q4,2021 Q3/Q4,2021 Q3/Q4
Graven,Action-adventurefirst-person Tiro,Slipgate Ironworks,3D Realms1C Entertainment,2021,2021,2021
GraviFire,Puzzle,Potata Company,Sometimes You,Não lançado,03 de março de 2021,03 de março de 2021
GreedFall,Ação-role playing,Spiders,Focus Home Interactive,TBA,TBA,TBA
Guilty Gear Strive,Fighting,Arc System Works,Arc System Works,11 de junho de 2021,11 de junho de 2021,11 de junho de 2021
Haunted Space,Actionhorror,Italian Games Factory,Merge Games,TBA,TBA,TBA
Haven,Role-playingadventure,The Game Bakers,The Game Bakers,3 de dezembro de 2021,3 de dezembro de 2021,3 de dezembro de 2021
Heavenly Bodies,Space station Simulação,2pt Interactive,2pt Interactive,2021,2021,2021
